president,Lexical_Diversity,Readability_Score,Top_5_Bigrams,Top_5_Trigrams
Abraham Lincoln,0.10894388318193395,18870.66570453841,"'united states', 'missouri compromise', 'slave state', 'mr clay', 'federal territory'","'slavery federal territory', 'local federal authority', 'control slavery federal', 'repeal missouri compromise', 'utah new mexico'"
Andrew Jackson,0.08222460608255897,28302.529803564783,"'united states', 'bank united', 'general government', 'south carolina', 'secretary treasury'","'bank united states', 'president united states', 'people united states', 'last session congress', 'law united states'"
Andrew Johnson,0.11279119930974979,18387.98345528628,"'united states', 'mr stanton', 'secretary war', 'general grant', 'war department'","'constitution united states', 'president united states', 'law united states', 'year end june', 'court united states'"
Barack Obama,0.07479700340700449,41519.15882058943,"'united states', 'health care', 'american people', 'make sure', 'middle class'","'united states america', 'middle class family', 'thank god bless', 'states america applause', 'small business owner'"
Benjamin Harrison,0.08837367221225202,24933.86063466233,"'united states', 'per cent', 'fiscal year', 'year end', 'end june'","'year end june', 'increase per cent', 'fiscal year end', 'last fiscal year', 'government united states'"
Bill Clinton,0.08326605307067118,30268.226776209805,"'health care', 'american people', 'senator dole', 'last year', 'united states'","'lehrer mr president', 'health care system', 'senator dole well', 'lehrer senator dole', 'four year ago'"
Calvin Coolidge,0.14251100094691696,14220.854265012626,"'united states', 'federal government', 'national government', 'per cent', 'wage earner'","'interstate commerce commission', 'post office department', 'last session congress', 'federal government continue', 'economy public expenditure'"
Chester A. Arthur,0.18289146644573323,9730.268460797688,"'united states', 'fiscal year', 'per cent', 'attention congress', 'past year'","'year end june', 'fiscal year end', 'per cent bond', 'government united states', 'regulate limit suspend'"
Donald Trump,0.07029119708151471,43938.52247567645,"'united states', 'thank much', 'mr president', 'go ahead', 'american people'","'go ahead q', 'thank mr president', 'q mr president', 'thank much thank', 'united states america'"
Dwight D. Eisenhower,0.1603203597021217,14115.750493253705,"'united states', 'united nations', 'free world', 'federal government', 'middle east'","'world war ii', 'old age survivor', 'age survivor insurance', 'past two year', 'mr president mr'"
